Parameter	Estimate_AA	Estimate_CG
deg0.Resname.CSH	-3.16719423825573	-3.6009707421866
deg0.Resname.CSSC	1.26022413827197	10.2443719482725
deg1.Resname.CSH	4.0334841127357	0
deg1.Resname.CSSC	0	8.9861797750018
edges	4.56429784031547	59.604111835098
gwdeg.fixed.2	0	-31.4611623768613
gwesp.fixed.0.5	2.38884431122959	0
gwesp.fixed.0.75	0	2.23039705272232
isolates	8.89111449257054	0
kstar2	-0.499038574853694	-2.3502074446505
nodematch.Resname.CSH	-1.0684373687182	-4.05342718784434
nodematch.Resname.CSSC	1.31980291924089	3.24194717891309
nsp1	0	-0.141171034745905
